"","race","inv","val"
"1","Asian","ARR",49
"2","Asian","CIT",269
"3","Asian","DFC",36
"4","Black","ARR",117
"5","Black","CIT",260
"6","Black","DFC",55
"7","Hispanic/Mexican/Latin","ARR",254
"8","Hispanic/Mexican/Latin","CIT",772
"9","Hispanic/Mexican/Latin","DFC",177
"10","Other","ARR",49
"11","Other","CIT",338
"12","Other","DFC",58
"13","Pacific Islander","ARR",4
"14","Pacific Islander","CIT",13
"15","Pacific Islander","DFC",2
"16","White","ARR",618
"17","White","CIT",3362
"18","White","DFC",504
